station_id,dustboy_name,tambon,amphoe,province,dustboy_lat,dustboy_lon
4,ไนท์บาร์ซาร์ ต.ช้างม่อย อ.เมือง จ. เชียงใหม่,ช้างม่อย,เมือง,เชียงใหม่,18.7854765,98.9996602
12,Bear Hug Cafe‚ ต.ช้างคลาน อ.เมือง จ.เชียงใหม่,ช้างคลาน,เมือง,เชียงใหม่,18.7828996,98.9933469
13,มช. แคมปัสแม่เหียะ ต.สุเทพ อ.เมือง จ.เชียงใหม่,สุเทพ,เมือง,เชียงใหม่,18.761371,98.931855
14,รพ.ฝาง ต.เวียง อ.ฝาง จ.เชียงใหม่,เวียง,ฝาง,เชียงใหม่,19.913293,99.206827
16,โรงพยาบาลร้องกวาง ต.ร้องเข็ม อ.ร้องกวาง จ.แพร่,ร้องเข็ม,ร้องกวาง,แพร่,18.307634262860546,100.29124223068229
19,รพ.สารภี ต.สารภี อ.สารภี จ.เชียงใหม่,สารภี,สารภี,เชียงใหม่,18.680982,99.043118
23,รพ.สต.บ้านนากลาง ต.ลี้ อ.ลี้ จ.ลำพูน,บ้านนากลาง,ลี้,ลำพูน,17.7932,99.0196
24,รพ.หางดง ต.หางดง อ.หางดง จ.เชียงใหม่,หางดง,หางดง,เชียงใหม่,18.683101,98.918202
31,รพ.เทพรัตนเวชชานุกูล ต.ช่างเคิ่ง อ.แม่แจ่ม จ.เชียงใหม่,ช่างเคิ่ง,แม่แจ่ม,เชียงใหม่,18.498206,98.379513
33,สสอ.เชียงดาว ต.เชียงดาว อ.เชียงดาว จ. เชียงใหม่,เชียงดาว,เชียงดาว,เชียงใหม่,19.366273,98.964704
35,รพ.ไชยปราการ ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่,ศรีดงเย็น,ไชยปราการ,เชียงใหม่,19.705142,99.136872
37,รพ.ส่งเสริมสุขภาพ เขต1 ต.ช้างคลาน อ.เมืองเชียงใหม่ จ.เชียงใหม่,ช้างคลาน,เมืองเชียงใหม่,เชียงใหม่,18.772478,98.995551
38,รพ.ปาย ต.เวียงใต้ อ.ปาย จ.แม่ฮ่องสอน,เวียงใต้,ปาย,แม่ฮ่องสอน,19.36219202482525,98.43767628981094
68,รพ.สบเมย ต.แม่คะตวน อ.สบเมย จ.แม่ฮ่องสอน,แม่คะตวน,สบเมย,แม่ฮ่องสอน,17.964438,97.931447
71,รพ.นาหมื่น ต.บ่อแก้ว อ.นาหมื่น จ.น่าน,บ่อแก้ว,นาหมื่น,น่าน,18.2114676,100.6604297
74,รพ.แม่สาย ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย,เวียงพางคำ,แม่สาย,เชียงราย,20.429559,99.878855
84,ทต.เมืองนะ ต.เมืองนะ อ.เชียงดาว จ.เชียงใหม่,เมืองนะ,เชียงดาว,เชียงใหม่,19.593668784489136,98.96170401010788
85,รพ.สต.เกาะช้าง ต.เกาะช้าง อ.แม่สาย จ.เชียงราย,เกาะช้าง,แม่สาย,เชียงราย,20.421067,99.982670
89,รพ.พร้าว ต.เวียง อ.พร้าว จ.เชียงใหม่,เวียง,พร้าว,เชียงใหม่,19.367391,99.200064
124,รพ.พญาเม็งราย ต.แม่เปา อ.พญาเม็งราย จ.เชียงราย,แม่เปา,พญาเม็งราย,เชียงราย,19.850303790282243,100.14595757300927
199,รพ.ป่าแดด ต.ป่าแดด อ.ป่าแดด จ. เชียงราย,ป่าแดด,ป่าแดด,เชียงราย,19.508281732459178,99.99097574602811
2110,อาคารอเนกประสงค์ของหมู่บ้านคุรุสภา หมู่ที่ 10 ตำบลสันนาเม็ง อ.สันทราย จ.เชียงใหม่ ,,สันทราย,เชียงใหม่,18.83383039,99.0643065
2131,เทศบาลตำบลศรีบัวบาน ต.ศรีบัวบาน อ.เมืองลำพูน จ.ลำพูน,ศรีบัวบาน,เมืองลำพูน,ลำพูน,18.519563,99.082056
2138,รพ.เชียงรายประชานุเคราะห์ ต.รอบเวียง อ.เมือง จ.เชียงราย,รอบเวียง,เมือง,เชียงราย,19.9009819,99.8289068
2208,ศูนย์พัฒนาการจัดสวัสดิการสังคมผู้สูงอายุจังหวัดลำปาง ต.นิคมพัฒนา อ.เมืองลำปาง จ.ลำปาง,นิคมพัฒนา,เมืองลำปาง,ลำปาง,18.418525,99.543508
2209,รร.อนุบาลแม่เมาะ (Outdoor) ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง,แม่เมาะ,แม่เมาะ,ลำปาง,18.2763,99.64604
2210,ศูนย์พัฒนาเด็กเล็ก (Outdoor) อบต.นาสัก ต.นาสัก อ.แม่เมาะ จ.ลำปาง,นาสัก,แม่เมาะ,ลำปาง,18.31890769287115,99.85434136190965
2211,ศูนย์พัฒนาเด็กเล็ก อบต.สบป้าด ต.สบป้าด อ.แม่เมาะ จ.ลำปาง,สบป้าด,แม่เมาะ,ลำปาง,18.26502476177248,99.76277230128883
2212,โรงเรียนแม่เมาะวิทยา ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง,แม่เมาะ,แม่เมาะ,ลำปาง,18.278701,99.654477
2214,CR001 ต.บ้านแหวน (Outdoor) อ.หางดง จ.เชียงใหม่,บ้านแหวน (Outdoor),หางดง,เชียงใหม่,18.691161,98.9536681
2216,CR003 ต.บ้านแอ่น (Outdoor) อ.ดอยเต่า จ.เชียงใหม่,บ้านแอ่น (Outdoor),ดอยเต่า,เชียงใหม่,18.03868,98.626983
2217,CR002 ต.บ้านตลาดใหญ่ (Outdoor) อ.ดอยสะเก็ด จ.เชียงใหม่,บ้านตลาดใหญ่ (Outdoor),ดอยสะเก็ด,เชียงใหม่,18.81074,99.1215571
2221,โรงเรียนบ้านฮ่อมต้อ (Outdoor) ต.ลี้ อ.ลี้ จ. ลำพูน,ลี้,ลี้,ลำพูน,17.8029,98.9618
2223,CR005 (Outdoor)  ต.แม่ปูคา อ.สันกำแพง จ.เชียงใหม่ ,แม่ปูคา,สันกำแพง,เชียงใหม่,18.779235,99.12995
2224,CR004 ต.แม่ปูคา อ.สันกำแพง จ.เชียงใหม่,แม่ปูคา,สันกำแพง,เชียงใหม่,18.782373,99.130623
2225,CR008 (Outdoor) ต.สันกำแพง อ.สันกำแพง จ.เชียงใหม่ ,สันกำแพง,สันกำแพง,เชียงใหม่,18.745304,99.096687
2227,CR007 (Outdoor) ต.ร้องวัวแดง อ.สันกำแพง จ.เชียงใหม่ ,ร้องวัวแดง,สันกำแพง,เชียงใหม่,18.6486853,99.0460533
2229,CR015 (Outdoor) ต.สันกำแพง อ.สันกำแพง จ.เชียงใหม่ ,สันกำแพง,สันกำแพง,เชียงใหม่,18.755857,99.084925
2232,CR006 (Outdoor)ต.บวกค้าง อ.สันกำแพง จ.เชียงใหม่ ,บวกค้าง,สันกำแพง,เชียงใหม่,18.670503,99.094027
2233,CR019 (Outdoor)  ต.สันทรายน้อย อ.สันทราย จ.เชียงใหม่,สันทรายน้อย,สันทราย,เชียงใหม่,18.83377111,99.03058965
2236,CR017 (Outdoor)  ต.สันกลาง อ.สันกำแพง จ.เชียงใหม่ ,สันกลาง,สันกำแพง,เชียงใหม่,18.766949,99.056724
3111,หน้าห้องกลุ่มงานอาชีวเวชกรรม รพ.ศรีสังวาลย์ อ.เมือง จ.แม่ฮ่องสอน,,เมือง,แม่ฮ่องสอน,19.298647,97.971341
3112,บริษัท ฮาร์ท ทู เอิร์ธ จำกัด ต.บ้านแหวน อ.หางดง จ.เชียงใหม่,บ้านแหวน,หางดง,เชียงใหม่,18.698035246404757,98.94241849592191
3115,ห้างหุ้นส่วนจำกัด ต.ดริ๊งค์ ต.สันกลาง อ.สันกำแพง จ.เชียงใหม่,ดริ๊งค์,สันกำแพง,เชียงใหม่,18.781936056940363,99.05067278650584
3116,โรงพยาบาลเวียงแหง อ.เวียงแหง จ.เชียงใหม่,,เวียงแหง,เชียงใหม่,19.560701870696757,98.63519183068554
3119,โรงเรียนนาสัก หมู่บ้านนาสัก ต.นาสัก อ.แม่เมาะ จ.ลำปาง,นาสัก,แม่เมาะ,ลำปาง,18.34913,99.85689
3131,โรงเรียนบ้านแม่ส้าน หมู่บ้านบ้านแม่ส้าน ต.บ้านดง อ.แม่เมาะ จ.ลำปาง,บ้านดง,แม่เมาะ,ลำปาง,18.626830590080573,99.77390286858741
3167,องค์การบริหารส่วนตำบลร้องวัวแดง อ.สันกำแพง จ.ชียงใหม่,,สันกำแพง,ชียงใหม่,18.741907630795506,99.19300997280308
3168,ศูนย์ฟื้นฟูสมรรถภาพผู้มีภาวะพึ่งพิงตำบลร้องวัวแดง อ.สันกำแพง จ.เชียงใหม่,,สันกำแพง,เชียงใหม่,18.7421001,99.169332
3176,บริษัท เชอวาล เทคโนโลยี่ จำกัด ต.แช่ช้าง อ.สันกำแพง จ.เชียงใหม่,แช่ช้าง,สันกำแพง,เชียงใหม่,18.71722014798745,99.14964624417642
3178,บริษัท ไบโอ ครีโนเวชั่น จำกัด ต.สันกลาง อ.สันป่าตอง จ.เชียงใหม่,สันกลาง,สันป่าตอง,เชียงใหม่,18.672205344185564,98.88099005769877
3237,โรงพยาบาลแม่ตื่น ต.แม่ตื่น อ.อมก๋อย จ.เชียงใหม่,แม่ตื่น,อมก๋อย,เชียงใหม่,17.40323192,98.45616854
3252,รพ.สต.แม่ลาว อ.เชียงคำ จ.พะเยา,แม่ลาว,เชียงคำ,พะเยา,19.45484,100.34713
3253,รพ.สต.เวียง อ.เชียงคำ จ.พะเยา,เวียง,เชียงคำ,พะเยา,19.495617,100.32716
3254,รพ.สต.บ้านหนองป่าแพะ ต.ร่มเย็น อ.เชียงคำ จ.พะเยา,บ้านหนองป่าแพะ,เชียงคำ,พะเยา,19.56215610878421,100.36477274602342
3256,รพ.สต.ท่าวังทอง  อ.มือง จ.พะเยา,ท่าวังทอง,มือง,พะเยา,19.196881,99.941231
3257,อบต.สระ จ.พะเยา,สระ,,พะเยา,18.9224169,100.2264489
3258,รพ.สต.ดอกคำใต้ ต.ดอกคำใต้ อ.ดอกคำใต้ จ.พะเยา,ดอกคำใต้,ดอกคำใต้,พะเยา,19.163597204671166,99.98369462154012
3260,รพ.สต.ดงสุวรรณ อ.ดอกคำใต้ จ.พะเยา,ดงสุวรรณ,ดอกคำใต้,พะเยา,19.24152,100.04922
3261,เทศบาลตำบลสันป่าม่วง  อ.เมืองพะเยา จ.พะเยา,,เมืองพะเยา,พะเยา,19.177165,99.834642
3264,เทศบาลเมืองพะเยา  อ.เมือง จ.พะเยา,,เมือง,พะเยา,19.1651,99.903276
3265,เทศบาลตำบลงิม อ.ปง จ.พะเยา,,ปง,พะเยา,19.26654,100.36773
3267,รพ.สต.บ้านฮวก ต.ภูซาง อ.ภูซาง จ.พะเยา,บ้านฮวก,ภูซาง,พะเยา,19.684366,100.413912
3268,รพ.สต.บ้านฝายกวาง  อ.เชียงคำ จ.พะเยา,บ้านฝายกวาง,เชียงคำ,พะเยา,19.476923,100.332072
3270,โรงพยาบาลภูซาง อ.ภูซาง จ.พะเยา,,ภูซาง,พะเยา,19.6101513,100.3369081
3272,โรงพยาบาลส่งเสริมสุขภาพตำบลควร อ.ปง จ.พะเยา,,ปง,พะเยา,19.1591794779116,100.32152642318447
3273,รพ.เชียงม่วน ต.เชียงม่วน อ.เชียงม่วน จ. พะเยา,เชียงม่วน,เชียงม่วน,พะเยา,18.89515,100.29346
3274,รพ.สต.บ้านสักลอ อ.จุน จ.พะเยา,บ้านสักลอ,จุน,พะเยา,19.521310741423473,100.10119565397656
3275,รพ.สต. บ้านต๊ำ  อ.เมือง จ.พะเยา,บ้านต๊ำ,เมือง,พะเยา,19.219515444433398,99.83213085767056
3276,รพ.สต.ทุ่งกล้วย  อ.ภูซาง จ.พะเยา,ทุ่งกล้วย,ภูซาง,พะเยา,19.5892366867428,100.374089721886
3278,รพ.สต.บ้านบ่อเบี้ย อ.เชียงม่วน จ.พะเยา,บ้านบ่อเบี้ย,เชียงม่วน,พะเยา,18.84875141739056,100.16952775397657
3279,สำนักงานสาธารณสุขจังหวัดแม่ฮ่องสอน ต.จองคำ อ.เมือง จ.แม่ฮ่องสอน,จองคำ,เมือง,แม่ฮ่องสอน,19.2871508722744,97.9630168536774
3280,โรงเรียนบ้านโฮ่ง  ต.ลี้ อ.ลี้ จ.ลำพูน,ลี้,ลี้,ลำพูน,17.7748,98.9974
3281, ศพด.บ้านกลาง เทศบาลตำบลลี้ อ.ลี้  จ.ลำพูน  ,,ลี้,ลำพูน,17.7663,98.9972
3282,เทศบาลตำบลทากาศ ต.ทากาศ อ.แม่ทา จ.ลำพูน,ทากาศ,แม่ทา,ลำพูน,18.4161025,99.0033274
3285,เทศบาลเมืองลำพูน สถานีดับเพลิง ต.ในเมือง อ.เมืองลำพูน จ.ลำพูน,ในเมือง,เมืองลำพูน,ลำพูน,18.578395,99.006243
3293,รพ.สต.ตําบลหนองปลาสะวาย อ.บ้านโฮ่ง จ.ลำพูน,ตําบลหนองปลาสะวาย,บ้านโฮ่ง,ลำพูน,18.33706,98.70776
3304,รพ.เชียงแสน  อ.เชียงแสน  จ.เชียงราย,,เชียงแสน,เชียงราย,20.272101,100.077606
3305,รพ.สต.สถาน อ.เชียงของ จ.เชียงราย,สถาน,เชียงของ,เชียงราย,20.21665,100.37964
3307,ห้องประชุม รพ.สต. ห้วยซ้อ อ.เชียงของ จ.เชียงราย,ห้วยซ้อ,เชียงของ,เชียงราย,20.04643,100.29502
3308,องค์การบริหารส่วนตำบลทานตะวัน อ.พาน จ.เชียงราย,,พาน,เชียงราย,19.487,99.794
